Hour,Day_Num,Month,Crime_Severity_Score,Is_Weekend,Arrest,Primary Type,Temporal_Cluster
15,4,10,3,0,0,CRIMINAL DAMAGE,2
11,0,9,3,0,0,THEFT,2
22,5,2,3,1,0,THEFT,3
22,2,8,3,0,0,DECEPTIVE PRACTICE,2
22,6,7,6,1,0,BATTERY,1
2,5,9,2,1,1,OTHER OFFENSE,0
6,3,7,3,0,0,THEFT,0
14,2,10,5,0,1,MOTOR VEHICLE THEFT,2
16,4,5,3,0,0,THEFT,3
10,1,4,3,0,0,THEFT,3
19,6,5,6,1,0,BATTERY,1
21,2,4,5,0,1,WEAPONS VIOLATION,1
5,4,8,3,0,0,THEFT,0
16,2,9,3,0,0,THEFT,2
14,4,12,3,0,0,THEFT,2
3,5,10,5,1,0,MOTOR VEHICLE THEFT,0
16,5,9,6,1,0,BATTERY,1
21,6,11,3,1,0,THEFT,2
21,1,10,3,0,1,CRIMINAL TRESPASS,2
22,5,9,5,1,0,BURGLARY,1
3,5,11,3,1,0,CRIMINAL DAMAGE,0
16,1,5,3,0,0,THEFT,3
20,5,1,7,1,0,SEX OFFENSE,1
11,5,11,8,1,0,CRIMINAL SEXUAL ASSAULT,1
11,2,3,6,0,0,BATTERY,1
3,6,8,3,1,0,CRIMINAL DAMAGE,0
14,5,5,3,1,0,THEFT,3
20,0,9,3,0,0,CRIMINAL DAMAGE,2
6,1,12,4,0,0,NARCOTICS,2
13,6,7,3,1,0,CRIMINAL DAMAGE,2
22,5,6,5,1,0,MOTOR VEHICLE THEFT,1
23,4,2,6,0,1,BATTERY,1
20,1,6,6,0,0,ASSAULT,1
13,4,1,3,0,0,DECEPTIVE PRACTICE,3
19,3,1,3,0,0,THEFT,3
22,6,3,6,1,0,BATTERY,1
22,1,10,6,0,0,BATTERY,1
14,5,9,3,1,0,CRIMINAL DAMAGE,2
11,4,10,7,0,0,ROBBERY,1
1,3,11,7,0,0,ROBBERY,0
23,6,11,3,1,1,CRIMINAL DAMAGE,2
8,0,7,3,0,0,DECEPTIVE PRACTICE,2
10,4,5,3,0,0,THEFT,3
6,2,10,5,0,0,MOTOR VEHICLE THEFT,0
13,2,8,5,0,0,MOTOR VEHICLE THEFT,1
11,5,2,3,1,0,THEFT,3
14,1,3,3,0,0,CRIMINAL TRESPASS,3
19,6,9,5,1,0,MOTOR VEHICLE THEFT,1
17,6,2,3,1,0,THEFT,3
23,6,3,6,1,0,BATTERY,1
0,5,3,3,1,0,CRIMINAL DAMAGE,0
0,1,6,6,0,0,ASSAULT,0
15,3,12,5,0,0,BURGLARY,2
0,5,7,3,1,0,DECEPTIVE PRACTICE,0
13,1,6,6,0,0,BATTERY,1
10,1,12,7,0,0,ROBBERY,1
13,2,10,7,0,0,ROBBERY,1
8,6,8,3,1,0,THEFT,0
15,2,10,4,0,1,NARCOTICS,2
15,5,11,3,1,0,THEFT,2
7,0,6,5,0,0,MOTOR VEHICLE THEFT,0
20,4,6,3,0,0,THEFT,3
1,5,11,3,1,0,THEFT,0
15,1,9,3,0,1,CRIMINAL TRESPASS,2
21,5,9,5,1,0,WEAPONS VIOLATION,1
19,1,10,6,0,0,ASSAULT,1
9,1,3,7,0,0,ROBBERY,1
1,6,5,6,1,0,BATTERY,0
8,3,10,5,0,1,MOTOR VEHICLE THEFT,0
14,6,6,3,1,0,THEFT,3
3,6,11,5,1,0,MOTOR VEHICLE THEFT,0
12,2,11,6,0,0,BATTERY,1
18,0,3,5,0,0,MOTOR VEHICLE THEFT,1
7,6,5,6,1,0,BATTERY,0
7,4,10,6,0,0,ASSAULT,0
7,2,7,5,0,0,WEAPONS VIOLATION,0
18,0,8,5,0,0,BURGLARY,1
23,1,3,3,0,0,DECEPTIVE PRACTICE,3
0,0,4,3,0,0,THEFT,0
18,2,3,3,0,1,THEFT,3
21,6,3,5,1,1,WEAPONS VIOLATION,1
8,6,7,2,1,0,OTHER OFFENSE,2
7,4,1,6,0,0,BATTERY,0
18,1,7,6,0,0,BATTERY,1
23,4,7,6,0,0,ASSAULT,1
14,4,4,2,0,0,OTHER OFFENSE,3
13,3,3,3,0,0,CRIMINAL TRESPASS,3
0,4,8,3,0,0,DECEPTIVE PRACTICE,0
19,0,9,6,0,0,BATTERY,1
15,0,2,5,0,0,BURGLARY,3
14,2,3,2,0,0,OTHER OFFENSE,3
2,0,10,6,0,0,BATTERY,0
14,0,9,5,0,0,MOTOR VEHICLE THEFT,1
7,4,12,3,0,0,THEFT,2
0,2,12,6,0,0,BATTERY,0
21,2,12,2,0,0,OTHER OFFENSE,2
0,0,4,2,0,1,OTHER OFFENSE,0
22,5,3,5,1,1,WEAPONS VIOLATION,1
21,6,10,6,1,0,BATTERY,1
18,0,10,10,0,0,HOMICIDE,1
17,1,10,5,0,0,MOTOR VEHICLE THEFT,1
5,1,7,5,0,0,BURGLARY,0
3,0,1,3,0,0,CRIMINAL TRESPASS,3
15,4,7,2,0,0,OTHER OFFENSE,2
15,1,1,2,0,1,OTHER OFFENSE,3
21,0,8,3,0,0,CRIMINAL DAMAGE,2
19,5,9,5,1,1,WEAPONS VIOLATION,1
20,0,5,6,0,0,BATTERY,1
10,0,2,3,0,1,THEFT,3
0,0,11,6,0,0,BATTERY,0
21,3,5,6,0,0,BATTERY,1
10,1,9,3,0,0,CRIMINAL DAMAGE,2
9,4,9,3,0,0,CRIMINAL TRESPASS,2
3,3,12,5,0,0,MOTOR VEHICLE THEFT,0
22,0,7,6,0,0,BATTERY,1
2,2,10,6,0,0,BATTERY,0
16,3,2,3,0,0,THEFT,3
8,3,5,4,0,1,NARCOTICS,0
3,6,2,5,1,0,MOTOR VEHICLE THEFT,0
0,2,11,3,0,0,DECEPTIVE PRACTICE,0
22,3,5,3,0,0,THEFT,3
18,1,4,3,0,0,THEFT,3
12,2,9,3,0,0,DECEPTIVE PRACTICE,2
0,2,11,6,0,0,BATTERY,0
16,0,7,2,0,0,OTHER OFFENSE,2
10,3,6,3,0,0,DECEPTIVE PRACTICE,3
10,1,7,3,0,0,CRIMINAL DAMAGE,2
19,0,7,6,0,0,BATTERY,1
22,3,8,4,0,1,PROSTITUTION,2
3,4,3,5,0,0,MOTOR VEHICLE THEFT,0
12,6,6,5,1,0,MOTOR VEHICLE THEFT,1
15,2,4,6,0,0,STALKING,1
11,3,12,6,0,0,ASSAULT,1
15,4,4,3,0,0,THEFT,3
15,5,12,3,1,0,THEFT,2
20,6,9,4,1,1,NARCOTICS,2
22,4,10,6,0,0,ASSAULT,1
22,0,11,3,0,0,CRIMINAL DAMAGE,2
10,2,5,2,0,0,OTHER OFFENSE,3
15,1,4,3,0,0,THEFT,3
12,0,9,6,0,0,BATTERY,1
0,5,10,6,1,0,BATTERY,0
22,6,8,6,1,0,BATTERY,1
5,6,7,5,1,0,WEAPONS VIOLATION,0
15,1,7,3,0,0,DECEPTIVE PRACTICE,2
11,5,5,3,1,0,THEFT,3
10,6,1,3,1,1,THEFT,3
23,5,6,3,1,0,CRIMINAL DAMAGE,3
7,4,3,6,0,0,ASSAULT,0
9,1,11,5,0,0,MOTOR VEHICLE THEFT,2
17,0,5,7,0,0,SEX OFFENSE,1
15,5,12,3,1,0,THEFT,2
23,0,11,3,0,0,CRIMINAL DAMAGE,2
20,2,7,3,0,0,CRIMINAL TRESPASS,2
8,0,12,5,0,0,MOTOR VEHICLE THEFT,2
22,3,8,6,0,0,BATTERY,1
10,4,7,3,0,0,THEFT,2
6,3,10,7,0,0,ROBBERY,0
15,3,4,6,0,0,ASSAULT,1
14,5,6,7,1,1,ROBBERY,1
16,0,3,3,0,1,THEFT,3
18,4,4,6,0,0,BATTERY,1
8,0,1,3,0,0,THEFT,3
11,0,6,4,0,1,NARCOTICS,3
4,1,6,6,0,0,BATTERY,0
11,6,2,6,1,1,BATTERY,1
22,3,12,3,0,0,CRIMINAL DAMAGE,2
17,3,9,3,0,0,THEFT,2
15,0,1,2,0,0,OTHER OFFENSE,3
15,6,6,3,1,0,CRIMINAL DAMAGE,3
10,5,8,6,1,1,BATTERY,1
20,6,6,3,1,0,THEFT,3
13,5,6,2,1,0,OTHER OFFENSE,3
12,3,10,5,0,0,MOTOR VEHICLE THEFT,2
13,5,10,2,1,0,OTHER OFFENSE,2
15,5,4,2,1,0,OTHER OFFENSE,3
12,3,6,5,0,0,MOTOR VEHICLE THEFT,1
11,2,10,2,0,0,OTHER OFFENSE,2
16,1,4,6,0,0,ASSAULT,1
23,0,3,6,0,0,BATTERY,1
7,6,2,7,1,0,ROBBERY,0
16,2,8,6,0,0,BATTERY,1
17,6,3,2,1,0,OTHER OFFENSE,3
0,6,11,3,1,0,CRIMINAL DAMAGE,0
21,0,10,3,0,0,CRIMINAL DAMAGE,2
16,5,1,6,1,0,ASSAULT,1
2,6,8,3,1,0,CRIMINAL DAMAGE,0
9,2,3,2,0,0,OTHER OFFENSE,3
1,6,12,3,1,0,THEFT,0
16,1,8,5,0,0,MOTOR VEHICLE THEFT,1
17,0,6,5,0,0,MOTOR VEHICLE THEFT,1
16,5,5,3,1,0,THEFT,3
21,2,10,7,0,0,SEX OFFENSE,1
0,2,8,3,0,0,CRIMINAL DAMAGE,0
14,4,7,3,0,0,THEFT,2
22,4,11,5,0,0,MOTOR VEHICLE THEFT,1
3,0,11,3,0,0,CRIMINAL DAMAGE,2
11,4,7,6,0,1,BATTERY,1
20,1,6,5,0,0,MOTOR VEHICLE THEFT,1
18,3,3,5,0,1,WEAPONS VIOLATION,1
20,3,8,6,0,0,BATTERY,1
2,6,4,5,1,0,BURGLARY,0
17,2,9,6,0,0,BATTERY,1
4,3,2,6,0,0,BATTERY,0
12,1,7,4,0,1,NARCOTICS,2
16,6,12,6,1,0,BATTERY,1
5,1,1,3,0,0,CRIMINAL DAMAGE,3
18,5,10,6,1,0,ASSAULT,1
14,4,10,6,0,0,BATTERY,1
12,4,1,6,0,0,BATTERY,1
7,2,6,3,0,0,THEFT,3
8,5,8,6,1,0,BATTERY,0
3,5,6,6,1,0,BATTERY,0
17,6,12,5,1,0,MOTOR VEHICLE THEFT,2
20,2,3,3,0,0,CRIMINAL DAMAGE,3
8,6,9,6,1,0,ASSAULT,0
6,2,8,3,0,0,THEFT,0
13,5,2,6,1,0,BATTERY,1
23,0,10,6,0,0,BATTERY,1
8,1,11,4,0,1,NARCOTICS,2
7,0,4,6,0,0,BATTERY,1
16,6,8,3,1,0,DECEPTIVE PRACTICE,2
23,1,8,3,0,0,THEFT,2
17,5,3,5,1,0,BURGLARY,1
4,6,5,3,1,0,THEFT,0
12,2,7,2,0,0,OTHER OFFENSE,2
8,5,10,3,1,0,THEFT,2
1,4,5,3,0,0,CRIMINAL DAMAGE,0
18,2,7,3,0,0,THEFT,2
3,1,2,10,0,0,HOMICIDE,1
10,2,2,3,0,0,THEFT,3
3,6,1,2,1,0,OTHER OFFENSE,3
1,5,10,3,1,0,THEFT,0
5,0,2,3,0,0,THEFT,3
22,6,6,6,1,0,ASSAULT,1
8,3,2,3,0,0,DECEPTIVE PRACTICE,3
23,1,6,6,0,0,ASSAULT,1
17,1,6,3,0,0,CRIMINAL DAMAGE,3
21,4,8,3,0,0,THEFT,2
1,5,10,6,1,0,BATTERY,0
6,2,8,6,0,0,BATTERY,0
20,3,8,2,0,0,OTHER OFFENSE,2
9,5,9,6,1,0,BATTERY,0
17,2,5,6,0,0,ASSAULT,1
14,2,3,3,0,0,THEFT,3
7,6,6,6,1,0,BATTERY,0
0,4,12,5,0,0,MOTOR VEHICLE THEFT,0
16,4,1,6,0,0,BATTERY,1
6,3,4,3,0,0,THEFT,3
16,5,3,7,1,0,SEX OFFENSE,1
14,0,6,3,0,0,THEFT,3
14,4,8,3,0,0,THEFT,2
22,4,12,3,0,0,THEFT,2
6,0,7,3,0,0,CRIMINAL DAMAGE,2
20,1,9,3,0,0,DECEPTIVE PRACTICE,2
20,0,12,6,0,0,BATTERY,1
13,1,12,3,0,0,THEFT,2
22,6,11,5,1,0,MOTOR VEHICLE THEFT,1
15,0,7,2,0,0,OTHER OFFENSE,2
12,3,9,3,0,0,THEFT,2
17,3,5,4,0,1,NARCOTICS,3
12,4,11,3,0,0,DECEPTIVE PRACTICE,2
4,0,3,3,0,0,CRIMINAL DAMAGE,3
0,0,5,8,0,0,CRIMINAL SEXUAL ASSAULT,0
20,4,3,4,0,1,NARCOTICS,3
7,1,4,6,0,1,BATTERY,0
9,2,11,5,0,0,BURGLARY,2
14,2,4,7,0,0,ROBBERY,1
5,1,10,6,0,0,BATTERY,0
3,6,8,3,1,0,THEFT,0
15,3,1,3,0,0,THEFT,3
0,3,10,5,0,0,MOTOR VEHICLE THEFT,0
0,5,4,3,1,0,CRIMINAL DAMAGE,0
15,4,10,6,0,0,ASSAULT,1
21,2,9,6,0,0,BATTERY,1
20,2,7,6,0,1,BATTERY,1
16,4,2,6,0,0,BATTERY,1
15,3,9,5,0,0,MOTOR VEHICLE THEFT,1
8,5,3,3,1,0,THEFT,3
3,2,12,3,0,0,CRIMINAL DAMAGE,2
0,3,4,6,0,0,BATTERY,0
21,4,8,5,0,0,MOTOR VEHICLE THEFT,1
0,3,12,8,0,0,CRIMINAL SEXUAL ASSAULT,0
20,6,4,3,1,0,DECEPTIVE PRACTICE,3
17,2,5,3,0,0,THEFT,3
19,4,6,5,0,1,WEAPONS VIOLATION,1
12,5,5,6,1,0,BATTERY,1
20,6,12,2,1,1,OTHER OFFENSE,2
3,6,12,5,1,0,MOTOR VEHICLE THEFT,0
8,0,5,3,0,0,THEFT,3
21,2,3,3,0,0,DECEPTIVE PRACTICE,3
21,2,11,6,0,0,BATTERY,1
0,1,3,3,0,0,CRIMINAL DAMAGE,0
12,1,8,3,0,0,THEFT,2
0,5,5,3,1,0,CRIMINAL DAMAGE,0
0,5,10,3,1,0,THEFT,0
22,0,4,6,0,1,BATTERY,1
6,6,1,6,1,0,BATTERY,0
4,1,6,5,0,0,WEAPONS VIOLATION,0
0,0,7,3,0,0,CRIMINAL DAMAGE,0
12,4,9,3,0,0,DECEPTIVE PRACTICE,2
1,4,8,5,0,0,OFFENSE INVOLVING CHILDREN,0
4,1,5,3,0,0,CRIMINAL DAMAGE,0
3,5,12,5,1,0,BURGLARY,0
12,4,3,5,0,0,BURGLARY,3
15,3,7,3,0,0,CRIMINAL DAMAGE,2
10,6,4,5,1,0,OFFENSE INVOLVING CHILDREN,0
6,4,2,3,0,0,CRIMINAL DAMAGE,3
11,3,12,6,0,0,ASSAULT,1
15,4,1,3,0,0,THEFT,3
8,2,3,3,0,0,THEFT,3
13,2,7,4,0,1,NARCOTICS,2
4,6,5,6,1,0,BATTERY,0
3,6,11,6,1,0,BATTERY,0
21,4,6,3,0,0,CRIMINAL DAMAGE,3
14,4,5,5,0,0,MOTOR VEHICLE THEFT,1
17,2,9,6,0,0,ASSAULT,1
15,6,6,3,1,0,DECEPTIVE PRACTICE,3
13,0,3,3,0,0,CRIMINAL DAMAGE,3
22,4,6,2,0,0,OTHER OFFENSE,3
12,0,4,6,0,0,BATTERY,1
9,2,12,2,0,0,OTHER OFFENSE,2
15,5,5,6,1,0,ASSAULT,1
20,2,2,5,0,0,MOTOR VEHICLE THEFT,1
0,1,8,3,0,0,THEFT,0
17,2,11,6,0,0,BATTERY,1
9,4,6,6,0,0,BATTERY,1
8,4,7,3,0,0,THEFT,0
8,0,9,3,0,0,THEFT,2
5,3,8,5,0,0,MOTOR VEHICLE THEFT,0
23,5,8,3,1,0,THEFT,2
0,1,12,3,0,0,DECEPTIVE PRACTICE,0
11,4,9,6,0,0,BATTERY,1
10,6,11,6,1,1,BATTERY,1
21,5,9,3,1,0,THEFT,2
22,4,10,2,0,0,OTHER OFFENSE,2
10,2,8,6,0,1,BATTERY,1
18,6,2,2,1,1,OTHER OFFENSE,3
2,0,7,5,0,0,MOTOR VEHICLE THEFT,0
0,3,2,3,0,0,CRIMINAL DAMAGE,0
15,3,10,3,0,0,THEFT,2
20,0,6,3,0,0,CRIMINAL DAMAGE,3
12,3,3,6,0,1,BATTERY,1
22,5,2,2,1,0,OTHER OFFENSE,3
0,1,1,7,0,0,ROBBERY,0
16,4,1,6,0,0,BATTERY,1
1,2,12,5,0,0,BURGLARY,0
22,5,3,6,1,0,ASSAULT,1
13,4,5,5,0,0,MOTOR VEHICLE THEFT,1
12,5,7,3,1,0,THEFT,2
0,5,11,6,1,0,BATTERY,0
1,4,12,5,0,0,MOTOR VEHICLE THEFT,0
9,0,9,3,0,0,DECEPTIVE PRACTICE,2
13,6,8,7,1,0,ROBBERY,1
10,4,1,5,0,0,INTIMIDATION,3
21,5,1,3,1,0,CRIMINAL DAMAGE,3
22,5,7,5,1,0,MOTOR VEHICLE THEFT,1
22,6,5,6,1,0,BATTERY,1
9,5,4,3,1,0,THEFT,3
8,2,3,6,0,0,BATTERY,1
17,5,6,3,1,1,DECEPTIVE PRACTICE,3
10,6,11,3,1,0,CRIMINAL DAMAGE,2
0,2,4,5,0,0,OFFENSE INVOLVING CHILDREN,0
14,0,1,3,0,0,DECEPTIVE PRACTICE,3
15,4,1,5,0,0,MOTOR VEHICLE THEFT,3
15,3,5,6,0,0,ASSAULT,1
18,2,5,6,0,1,ASSAULT,1
7,0,8,3,0,0,CRIMINAL DAMAGE,2
5,6,10,3,1,0,CRIMINAL DAMAGE,0
13,6,6,3,1,1,CRIMINAL DAMAGE,3
0,3,7,3,0,0,THEFT,0
23,2,6,6,0,0,ASSAULT,1
9,1,3,6,0,0,ASSAULT,1
23,5,8,5,1,0,MOTOR VEHICLE THEFT,1
1,4,12,6,0,1,BATTERY,0
5,4,10,6,0,0,BATTERY,0
23,1,9,3,0,0,CRIMINAL DAMAGE,2
18,5,3,3,1,0,THEFT,3
23,2,1,5,0,1,MOTOR VEHICLE THEFT,3
20,6,9,6,1,0,BATTERY,1
0,2,5,5,0,0,OFFENSE INVOLVING CHILDREN,0
10,5,8,5,1,0,MOTOR VEHICLE THEFT,0
11,0,7,3,0,1,THEFT,2
19,6,5,3,1,0,THEFT,3
11,1,8,6,0,0,BATTERY,1
4,4,12,6,0,0,ASSAULT,0
20,4,6,3,0,0,THEFT,3
20,0,5,6,0,0,BATTERY,1
1,3,6,5,0,0,MOTOR VEHICLE THEFT,0
17,0,4,3,0,0,CRIMINAL DAMAGE,3
18,1,7,6,0,0,ASSAULT,1
19,5,9,3,1,0,THEFT,2
8,2,12,8,0,0,CRIMINAL SEXUAL ASSAULT,1
0,2,1,2,0,0,OTHER OFFENSE,3
6,5,3,3,1,0,CRIMINAL DAMAGE,3
22,3,8,7,0,0,ROBBERY,1
21,5,6,3,1,0,THEFT,3
20,2,11,3,0,0,CRIMINAL TRESPASS,2
14,0,4,3,0,0,DECEPTIVE PRACTICE,3
14,1,3,3,0,1,THEFT,3
21,6,7,3,1,0,CRIMINAL DAMAGE,2
19,3,1,7,0,0,SEX OFFENSE,1
0,2,3,3,0,0,THEFT,0
12,5,3,3,1,0,THEFT,3
17,1,5,6,0,0,ASSAULT,1
22,4,6,7,0,0,ROBBERY,1
0,1,5,3,0,0,THEFT,0
14,6,7,6,1,0,ASSAULT,1
23,4,11,4,0,1,NARCOTICS,2
22,5,2,3,1,0,CRIMINAL DAMAGE,3
14,2,2,3,0,0,THEFT,3
17,4,5,5,0,1,WEAPONS VIOLATION,1
17,4,3,3,0,0,CRIMINAL DAMAGE,3
8,6,1,6,1,0,BATTERY,0
23,0,4,5,0,0,MOTOR VEHICLE THEFT,1
21,6,7,3,1,0,CRIMINAL DAMAGE,2
20,6,7,5,1,1,WEAPONS VIOLATION,1
3,4,4,5,0,0,BURGLARY,0
18,0,12,10,0,0,HOMICIDE,1
15,6,10,3,1,0,THEFT,2
22,1,12,3,0,0,CRIMINAL DAMAGE,2
4,3,9,5,0,1,BURGLARY,0
23,6,3,2,1,0,OTHER OFFENSE,3
5,0,3,3,0,0,THEFT,3
22,2,6,6,0,0,BATTERY,1
14,5,6,6,1,0,ASSAULT,1
16,5,2,3,1,0,THEFT,3
4,5,5,6,1,0,BATTERY,0
19,4,8,7,0,0,ROBBERY,1
12,0,7,3,0,0,DECEPTIVE PRACTICE,2
15,0,7,6,0,0,ASSAULT,1
18,0,12,6,0,0,BATTERY,1
10,2,2,3,0,0,DECEPTIVE PRACTICE,3
12,2,4,3,0,0,THEFT,3
15,5,11,3,1,0,THEFT,2
18,1,3,3,0,0,THEFT,3
15,0,3,6,0,0,ASSAULT,1
7,2,2,2,0,0,OTHER OFFENSE,3
22,2,11,5,0,0,OFFENSE INVOLVING CHILDREN,2
16,6,2,4,1,1,NARCOTICS,3
23,1,3,3,0,0,CRIMINAL DAMAGE,3
11,6,9,2,1,0,OTHER OFFENSE,2
13,4,6,3,0,0,DECEPTIVE PRACTICE,3
16,5,11,3,1,1,THEFT,2
12,4,7,3,0,0,THEFT,2
10,3,3,6,0,0,BATTERY,1
11,2,3,3,0,0,DECEPTIVE PRACTICE,3
13,1,8,6,0,0,ASSAULT,1
2,0,7,3,0,0,CRIMINAL DAMAGE,0
1,3,6,3,0,0,CRIMINAL DAMAGE,0
6,6,2,6,1,1,BATTERY,0
15,5,8,6,1,0,BATTERY,1
13,2,7,3,0,0,CRIMINAL DAMAGE,2
14,0,9,6,0,0,ASSAULT,1
10,4,5,3,0,0,THEFT,3
13,2,9,3,0,0,THEFT,2
14,5,12,3,1,0,THEFT,2
9,4,12,3,0,0,DECEPTIVE PRACTICE,2
